"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"AC007179.1",0,0
"LINC01198",0,6
"NPM1P48",0,0
"SMC3P1",7,11
"AKAIN1",16,0
"LINC01819",7,369
"AL513523.2",3,5
"AL157834.1",1,7
"AC245140.1",1,5
"MTHFD1P1",2,5
"RPS7P2",0,0
"DPY19L4P2",0,0
"TMEM139-AS1",0,2
"FAM192BP",5,1
"HMGB3P14",6,3
"AC092832.2",0,0
"KRTCAP2P1",1,2
"UBE2V2P4",0,0
"MRPS9-AS1",7,10
"CYP21A2",7,120
"AL161935.2",0,0
"AL162377.1",146,118
"MORF4L1P5",0,0
"AC067945.2",3,1
"AC079781.1",0,0
"OR5K2",4,1
"AL139393.1",0,14
"AL807752.3",0,0
"AC099677.2",0,0
"AP001625.1",2,0
"AL031848.1",1,101
"KRT17P3",0,229
"IPO9-AS1",0,2
"AC099560.1",10,2
"TSPY18P",0,0
"AL359885.1",0,4
"AC009158.1",0,0
"AL359551.1",1,0
"SNRPFP1",1,0
"TXNL1P1",0,0
"KF459542.1",0,0
"AL109615.2",5,31
"F10-AS1",0,3
"AL138733.2",0,0
"NDUFB1P1",2,2
"PRH1",7,31
"MTND5P15",1,4
"TRAF3IP2-AS1",172,135
"DARS-AS1",7,48
"AC073316.2",1,0
"WDR95P",0,2
"AC019185.1",1,0
"MARK2P14",0,0
"MYO3B-AS1",0,3
"GOT2P1",0,0
"AL354754.1",0,0
"AL135923.2",0,0
"AC079354.1",0,1
"SETP10",0,0
"AC016397.1",0,0
"GAPDHP37",0,0
"IDH1-AS1",15,8
"MAP1LC3BP1",0,0
"GAMTP2",0,1
"TPRKBP1",0,0
"FO393415.2",0,0
"RARRES2P3",0,0
"LINC00387",0,0
"SALL4P5",0,0
"AC006033.1",7,1
"AC007402.1",1,2
"NEBL-AS1",2,50
"AL138479.1",0,0
"AC024082.1",0,0
"PSG1",11,0
"TAPBP",6662,10947
"SEPHS1P7",0,0
"AC093734.1",0,2
"HMGB3P31",0,0
"AF228730.1",0,0
"AC024082.2",0,0
"MYO18B-AS1",0,0
"FAM242A",1,0
"AC116666.1",0,0
"RPS7P3",4,7
"HNRNPA1P36",1,3
"PGM5P4-AS1",14,0
"PHKA1-AS1",0,3
"MTND2P24",0,0
"HS1BP3-IT1",22,7
"AL161638.1",0,0
"AC004837.3",0,0
"DPY19L1P2",9,17
"AL031432.1",0,0
"MTND2P22",0,0
"AC007383.2",0,0
"HNRNPA1P9",1,3
"GNAI2P2",0,0
"AL035461.1",0,0
"AL662864.1",0,0
"AL731567.1",7,13
"AF131215.1",0,0
"LINC02818",4,1
"AL135786.1",13,9
"MMADHC-DT",3,10
"AL355490.2",0,2
"CT69",1,0
"FAM238B",2,0
"AL096828.1",2,2
"AL590103.1",0,0
"AL356361.2",0,0
"AC011899.1",0,1
"RPL7L1P12",0,0
"AC112907.2",32,9
"LINC00415",0,1
"AL596266.1",0,0
"AL354949.1",1,0
"AP000474.1",0,0
"LINC01787",1,0
"OFD1P3Y",0,0
"PPP1R2B",2,3
"AL442224.1",0,0
"ANXA2P2",747,507
"AC092802.3",4,2
"EP300-AS1",17,37
"AL590399.4",4,0
"AC096949.1",0,0
"LRRC8C-DT",210,86
"CLCN3P1",132,43
"AC108868.2",0,0
"LINC01880",0,0
"ZNF736P12Y",0,0
"CAP1P2",13,25
"AC005537.1",0,2
"AL591503.2",0,0
"DNMT3L-AS1",0,0
"HSPE1P25",0,0
"AC074183.1",0,0
"LEF1-AS1",2,26
"FAAHP1",11,89
"LINC01807",0,0
"LSM12P1",55,100
"AL671986.1",5,5
"AC007391.1",2,0
"ELOCP15",0,0
"MAGEB6B",0,0
"AL078599.2",0,0
"AC079781.2",0,0
"AC092168.2",0,1
"AL135790.1",0,1
"AL078645.2",0,2
"AL590556.1",1,9
"DEFT1P2",0,0
"ZBED9",25,65
"PSMD10P3",0,1
"AL512286.1",0,0
"AL133230.1",15,75
"SILC1",11,14
"LINC01798",1,3
"HNRNPCP9",0,1
"Z98949.1",0,0
"AC078845.1",9,5
"NPM1P34",0,1
"AC092687.1",0,0
"AC093390.1",16,0
"AC005772.1",0,0
"AL451007.1",6,4
"SLC4A1APP1",5,0
"AL691447.2",64,20
"USP9YP33",0,0
"LINC01063",2,11
"AF003529.1",0,0
"RPS29P28",1,0
"TMEM253",2,12
"AC004870.4",1,0
"Z82198.2",0,0
"MRPL35P2",30,5
"LINC01031",1,3
"LINC01697",388,2
"AL662789.1",0,0
"LARGE-IT1",0,1
"RPS6KA2-IT1",4,4
"RPL31P7",0,1
"LINC01104",0,0
"AL606534.2",0,0
"AL159990.2",0,0
"HCFC2P1",0,0
"AC011233.1",0,0
"POLR2DP1",0,0
"PNLIPP1",0,0
"DCST1-AS1",23,145
"YPEL5P1",0,0
"AC079781.3",0,7
"AC012313.1",311,425
"LINC01653",0,0
"AC108059.1",0,0
"MTCO3P2",0,1
"RFX3-AS1",33,63
"RPL32P28",0,1
"VN1R54P",0,0
"AL353751.1",5,4
"AC073488.1",0,0
"TMA7",327,382
"TEX50",0,0
"NPLP1",0,0
"AC026884.1",0,0
"LINC00384",2,1
"BACH1-AS1",2,51
"MCTS1",1520,2548
"AL357375.1",0,0
"AL450469.2",0,0
"AP001057.1",1,85
"DYTN",0,1
"MTCO3P45",0,0
"AC092966.1",0,0
"NCOA7-AS1",1,0
"NDFIP2-AS1",0,0
"IMPDH1P10",1,0
"RPS15AP12",31,17
"AL031663.1",0,6
"DUXAP7",1,0
"IFNWP5",0,0
"LINC00867",6,23
"AC073257.1",70,35
"RPS25P9",0,1
"PSAT1P2",3,0
"AC099548.1",0,0
"FMO11P",0,0
"FERP1",4,16
"ST13P4",16,6
"AC012593.2",0,0
"MTCYBP15",0,0
"AC244090.1",0,0
"C11orf98P1",0,0
"RAB9BP1",0,0
"RAP2C-AS1",291,234
"AC023141.8",0,0
"USP12-AS1",0,0
"RPLP1P13",2,0
"LINC01873",0,0
"AC006455.6",0,0
"AL122008.2",0,0
"AC137675.1",0,0
"P2RY10BP",0,0
"LINC00708",0,0
"AL359092.2",2,1
"OR2H5P",0,0
"AC113340.1",0,0
"AL122003.1",1,0
"AL161909.1",5,4
"MTND4P24",4,40
"MTATP6P29",0,0
"AL031386.1",0,0
"AL662889.1",0,0
"CNOT7P2",0,0
"TERF1P7",9,31
"FTH1P7",188,44
"AL354714.3",0,0
"LINC02181",0,1
"KIF26B-AS1",0,1
"AL157359.2",0,0
"Z99943.1",0,2
"TOMM22P2",0,0
"MTRNR2L4",2,5
"AL596442.1",0,0
"MTCO2P34",0,0
"RPL3P8",1,2
"AL158090.1",0,0
"CHORDC1P1",8,5
"SLC25A6P2",2,2
"TET1P1",0,0
"CDY18P",0,0
"AL139415.1",0,0
"AL353613.1",4,0
"LINC01701",0,0
"OR2L6P",0,1
"IGHV3-43",1,85
"FTLP8",0,0
"AL021937.2",5,6
"AC008440.1",0,0
"CNN2P10",0,0
"LINC01047",0,0
"ARSFP1",0,0
"AC013401.1",0,0
"RPL36AP16",0,2
"LINC00865",38,249
"TPM4P1",0,0
"LINC02043",5,3
"AL355499.1",0,2
"CDY3P",0,0
"ASCL5",0,6
"RPS29P8",0,0
"RBPJP5",0,0
"AL356387.2",0,0
"DYNLT3P1",0,1
"ZYG11AP1",0,0
"AL035415.1",0,0
"AC152007.1",0,0
"AL354994.1",0,0
"CSF2RBP1",1,0
"TMEM114",1,2
"AL158166.2",3,4
"BTF3L4P1",2,2
"Z98751.1",0,0
"KRTAP25-1",0,0
"USP17L24",0,0
"LINC02805",8,6
"ACTR3P2",0,0
"OR52I1",1,0
"AL096799.1",0,0
"FTH1P1",10,2
"SLC30A6P1",0,0
"IFNWP15",0,0
"MTND1P32",0,0
"HSD17B3-AS1",0,0
"GNG12-AS1",75,95
"ELOBP3",0,0
"AL121902.1",0,0
"SLC6A1-AS1",6,0
"AL133260.2",0,0
"ALDH7A1P2",0,0
"PAICSP7",0,0
"AL031674.1",1,13
"AL589935.1",27,57
"AL691482.1",0,0
"GRHL3-AS1",0,5
"AL357514.1",0,0
"FAM215B",11,3
"LNCPRESS1",0,9
"DFFBP1",1,4
"CLCP1",0,0
"AC012485.2",0,4
"DAOA-AS1",0,0
"AL390856.1",0,2
"AL078590.2",9,42
"PSMC1P13",0,0
"LINC02518",2,2
"MXRA7P1",80,8
"AC093627.1",1,2
"AC105917.1",0,0
"AC084030.1",17,0
"ARL5AP5",0,0
"RPS27AP2",5,4
"AL683842.1",4,4
"AL354864.1",0,0
"AC009313.1",0,0
"RPL4P2",9,5
"AC022540.1",1,5
"AC087163.1",14,46
"Z74021.1",13,14
"AL390728.5",0,2
"YBX1P7",0,0
"AC244250.2",0,0
"SEMA3B-AS1",49,140
"AC026320.1",0,0
"VIPR1-AS1",36,134
"AL603650.1",2,9
"AL050404.1",0,0
"AC104777.1",0,0
"AP000281.2",0,1
"AC069304.1",0,0
"ATP5MGP2",1,0
"AL021391.1",3,4
"VDAC1P9",0,0
"FTLP2",108,6
"PPIAP35",3,0
"BAG1P1",0,0
"MTCYBP3",0,0
"GPR79",3,0
"AC092042.2",1,3
"AC016910.1",6,1
"RPL29P28",0,0
"RPL22P23",0,0
"ZDHHC20P4",7,4
"OR52U1P",0,0
"OR5K1",0,0
"AC010677.1",0,2
"RPS3AP25",3,7
"AC015712.1",5,46
"SKA2P1",1,1
"SMIM26",311,300
"AL583856.1",1,4
"NDUFA5P1",0,0
"RANP2",0,0
"GOT2P7",0,0
"RPL5P6",1,0
"AC090696.1",0,0
"AL138830.2",0,0
"AC004882.1",0,1
"TMPRSS11CP",1,7
"USP17L13",0,0
"RAD17P1",0,183
"LINC00112",0,2
"RPL27P5",1,0
"AL121895.1",10,8
"PPIAP70",0,0
"AC140481.2",0,0
"AC019185.2",0,0
"AC009495.2",5,26
"AL121601.1",9,5
"AL589923.1",0,0
"ELN-AS1",55,81
"BPESC1",0,0
"AC074348.1",0,0
"TTTY19",0,0
"IL9RP2",0,0
"KNOP1P4",0,2
"PRAMEF6",0,0
"USP9YP29",0,0
"RPL21P131",3,3
"RPL31P15",0,0
"AC055876.1",0,0
"GXYLT1P3",1,0
"AJM1",72,482
"AL360013.2",0,0
"RPS26P42",0,0
"RPL18AP7",14,3
"MHENCR",96,242
"AC010745.4",0,2
"EMSLR",2,36
"AC129850.1",0,0
"MTND5P3",0,1
"AL354824.2",2,1
"AL133517.1",12,15
"AC018467.1",2,0
"LINC02777",67,24
"AL138752.1",0,2
"LARS2-AS1",1,0
"AL355994.2",0,0
"SLC16A6P1",10,13
"LINC01450",0,1
"OR4F14P",0,0
"BMPR1AP2",4,1
"AL359265.2",0,0
"Z98949.2",0,0
"AL049765.1",0,0
"H3P31",0,4
"TMA16P2",0,0
"AL136368.1",8,33
"AC119751.1",1,0
"EEF1B2P3",42,72
"NCKAP5-IT1",0,0
"HSFY5P",0,0
"KRT8P52",3,3
"TGFB2-AS1",0,1
"AL357134.1",0,3
"RPL37A-DT",18,34
"DEPDC1P2",1,0
"RASA3-IT1",0,0
"MFAP1P1",3,3
"OSBPL10-AS1",0,2
"SAPCD2P3",0,2
"NPM1P13",2,0
"RPL12P11",2,0
"AL161912.1",0,0
"RPL3P12",0,2
"ADIPOR1P1",0,0
"AL391058.1",14,6
"AP005273.1",0,0
"AC073464.1",0,0
"CYCSP8",0,0
"ST3GAL5-AS1",16,12
"MRPL45P1",0,4
"OR2AH1P",0,0
"AP000233.2",0,0
"AL356968.1",0,0
"AC245060.1",0,0
"CSPG4BP",1,1
"AC074366.1",2,0
"AL353807.2",0,2
"GCSIR",1,0
"ZNF886P",0,0
"AC073323.1",0,1
"SS18L2P1",0,0
"VDAC1P13",0,0
"LINC02802",68,6
"AL109809.1",15,9
"AL031773.1",0,0
"LIF-AS1",2,0
"KMT5AP2",2,0
"AC093673.1",170,358
"OR5H8",0,1
"AL365436.2",3,20
"AC092810.2",0,1
"LINC00945",0,0
"RPL36P19",1,1
"DPYD-IT1",0,0
"IGHD4-11",0,0
"AC253536.3",37,45
"AC027644.1",18,40
"LINC01809",0,0
"SRD5A1P1",0,0
"MTCO1P14",0,1
"CLK2P1",1,4
"RSU1P2",1,0
"AC104088.1",0,1
"PRCPP1",0,0
"AL590609.2",2,0
"KCND3-IT1",0,3
"LINC01549",0,0
"TPMTP3",0,0
"CRB3P1",0,1
"MRTFA-AS1",0,1
"RPL23AP35",0,0
"RPL3P4",209,859
"AL645638.1",0,0
"AC093311.1",1,2
"MTCO1P27",1,1
"AC079742.1",0,0
"AC234771.3",0,0
"GPR143P",0,0
"OFD1P12Y",0,0
"KIAA1614-AS1",3,2
"EEF1A1P3",17,10
"AL451127.1",0,0
"LINC02642",4,0
"KANTR",310,641
"AC103563.4",0,0
"CST2P1",0,0
"LINC01646",0,0
"AC013727.1",0,0
"AL122034.1",0,0
"AL008707.1",10,2
"TONSL-AS1",2,17
"ANAPC15P2",0,0
"AC245291.3",0,0
"AC010967.2",0,0
"HMGN2P11",0,0
"LINC01412",8,1
"TIMM9P2",5,9
"CCT6P4",0,0
"AL683813.1",55,159
"RPL31P35",1,1
"LINC02576",4,7
"USP9YP9",0,0
"AC026412.2",2,18
"AC017019.1",0,0
"AL355304.1",16,2
"TSPY17P",0,0
"C4BPAP2",0,0
"AC114482.1",0,0
"MRAP-AS1",6,4
"LINC01517",0,2
"RPL23AP31",2,2
"AC099336.1",4,4
"AC021876.1",0,0
"AC092809.2",2,7
"HLA-DQB2",466,96
"PRPS1P2",30,67
"MTND2P23",0,0
"AC079465.1",1,6
"NEFLP1",0,0
"AL360267.1",0,0
"AL390294.1",0,4
"AL354892.2",23,38
"AC008073.2",5,3
"LINC00385",0,0
"AC005297.2",0,0
"LINC01431",24,29
"AL731563.1",0,1
"POLR3KP1",0,0
"AC107214.1",27,18
"LINC01780",0,5
"GOLGA8N",63,51
"FAM136BP",1,0
"LINC01656",1,4
"IDI2-AS1",33,131
"SLC44A3P1",0,0
"CFTR-AS1",0,0
"LDHBP1",0,1
"AL139415.2",1,0
"LARP1BP3",0,0
"PHBP10",1,0
"AC004862.1",1,0
"AC010967.3",0,0
"ZNF687-AS1",5,4
"ACTG1P21",1,2
"AL121830.1",0,0
"ADH5P2",0,0
"LINC00665",417,2571
"SPTLC1P4",2,0
"LINC01705",0,5
"AC002511.1",34,8
"AL592430.1",0,20
"ATP11A-AS1",0,0
"LINC00442",0,0
"RPL12P9",2,3
"LINC01628",0,0
"HSPE1P9",0,1
"AP001596.1",26,13
"AC012370.1",0,2
"ELOCP17",0,0
"AC017006.2",1,0
"BDH2P1",5,1
"RPL21P108",0,0
"AL158050.1",3,6
"NUTM2HP",7,7
"AP1B1P2",0,0
"MARK2P9",51,5
"AC254562.2",0,1
"KIZ-AS1",9,11
"RPS12P3",34,40
"MTND3P8",0,0
"LINC01022",0,1
"AC016831.3",0,0
"TRIM51JP",0,1
"GAPDHP48",0,0
"AC007272.1",2,1
"AC239800.2",0,12
"MROH4P",0,2
"RPS17P7",0,0
"TRIM80P",1,2
"U52111.1",26,50
"YWHAEP1",2,5
"PHB2P1",0,0
"AC211433.1",5,14
"FAM8A4P",0,0
"AC097717.1",1,6
"ATP5MC1P7",0,0
"ATG4AP1",0,0
"AC007551.1",1,0
"AL353612.1",0,0
"AL607028.1",4,0
"LINC01826",0,0
"RHOQP2",81,5
"ELF2P3",0,0
"USP9YP16",0,0
"LINC02022",1,0
"IGKV1D-35",0,1
"AC135050.1",9,32
"AL162726.4",0,0
"AL139132.1",1,6
"AL645568.2",0,2
"MTCO3P21",0,1
"AL035658.1",2,0
"AC004990.1",0,2
"ETF1P1",6,9
"AC002480.1",28,9
"AC103564.2",0,1
"AL355483.2",0,1
"TRIM60P8Y",0,0
"AL158819.1",0,0
"KIAA1143P2",0,0
"AC016825.1",0,0
"AL356320.1",0,0
"PPP1R26P5",0,0
"MTND4P22",0,0
"DEFB130D",0,0
"AL355916.1",16,29
"BMS1P22",5,2
"MRPL51P2",0,0
"RPL23AP50",0,2
"GAPDHP74",1,2
"FRG2FP",0,0
"TIMM9P3",0,0
"OR7L1P",0,0
"ITGA6-AS1",10,4
"AC053503.2",0,0
"LINC01162",0,0
"OR11I1P",0,0
"FTH1P25",0,1
"DNAJC19P8",0,0
"HNRNPDP1",0,1
"SCAND3P1",0,0
"FAM207CP",0,0
"CR769767.1",0,0
"CRYGFP",0,0
"SLC7A15P",0,0
"SDCBPP3",1,0
"SLCO4A1-AS1",8,9
"NIP7P1",0,0
"AP001610.3",0,0
"AL137186.2",46,58
"TTTY20",0,0
"VDAC1P10",0,0
"TNF",23,82
"AL360270.1",21,54
"LINC01717",0,3
"S100A11P6",3,1
"COL4A2-AS1",13,4
"DUX4L50",47,277
"AC073188.4",0,0
"RPS2P32",33,6
"AC003986.2",54,2
"TXNP1",0,0
"PRR13P1",0,0
"AL445433.2",0,0
"LINC01189",0,0
"AC231533.1",1,2
"GSTO3P",0,0
"AC110994.1",1,1
"LMLN-AS1",0,1
"AC112492.3",0,0
"AC107057.1",0,0
"LINC01700",0,0
"PET117",6,6
"BRWD1P3",0,1
"KAT7P1",3,1
"SNX18P2",1,0
"TRAPPC2P9",0,0
"SLC25A6P3",0,0
"AL034417.1",1,3
"LINC00363",0,0
"PTGES2-AS1",4,8
"ATP5MFP3",0,0
"CICP4",0,2
"LUZP4P1",0,0
"AF165147.1",21,32
"KATNBL1P2",0,0
"RPL34P27",4,4
"LYRM9",388,293
"SMG7-AS1",29,42
"AL138787.1",0,1
"NUCKS1P1",0,1
"AL355433.1",0,0
"TRBV29-1",4,8
"SEC1P",41,38
"CTAGE3P",4,36
"RPL23AP93",0,0
"AC080129.2",5,8
"HMGN2P35",0,0
"AL353596.1",10,6
"DPYD-AS1",5,2
"GLRX5P2",1,10
"NDUFB4P10",0,0
"RPS10P21",0,0
"PHKA1P1",11,15
"AL451081.2",5,5
"AF127936.1",56,14
"GPC5-AS2",0,0
"AF212831.1",0,0
"AC006466.1",2,0
"RPS11P5",42,43
"AC087499.3",0,0
"AL450344.3",8,6
"RGS5-AS1",1,1
"IQCA1-AS1",0,0
"MRPS31P2",0,2
"AL121999.1",0,0
"AL592463.1",0,0
"AL117329.2",0,0
"CDY9P",0,0
"AL050403.1",0,0
"CYCSP10",15,25
"LINC01166",0,8
"AL162393.1",0,0
"AC092685.1",0,0
"DLGAP4-AS1",9,8
"HSD17B7P1",0,3
"AL157823.2",0,10
"RAB9AP1",0,0
"RERE-AS1",19,9
"PLCE1-AS2",1,0
"TRAPPC2P4",0,0
"RNF14P1",0,1
"HMGN2P27",0,1
"HSPE1P6",1,5
"AC118469.1",0,0
"LINC01400",0,0
"MTND6P24",0,0
"ELOCP4",0,0
"MRPS16P2",0,0
"AC000078.1",8,53
"USP12PY",0,0
"DDX3P1",0,2
"AC083864.2",7,1
"LINC00342",1427,1556
"AL157786.1",47,19
"AL359094.2",0,0
"AL157400.2",0,0
"AL589765.2",0,0
"RPL23AP87",2,6
"AL158829.1",0,2
"HCG25",15,60
"GGCTP2",0,0
"AC092423.1",0,0
"RPL35AP20",0,2
"LINC02543",0,0
"DEFB130A",0,0
"AC002480.2",44,7
"ZNF519P1",0,0
"IPO7P1",1,2
"AL512844.1",3,1
"HSPA8P18",0,4
"LINC00374",0,0
"SNHG15",386,976
"AC027119.1",0,0
"AL356475.1",0,0
"HMGN2P20",0,0
"LINC01737",0,0
"RPS12P18",0,0
"EIF4EP4",0,0
"AP001062.2",1,0
"POLHP1",0,1
"AL591719.2",0,0
"CYP1B1-AS1",262,45
"MTCO1P57",0,0
"TRIM60P10Y",0,0
"LINC00327",5,21
"AL161909.2",0,1
"AC092580.3",0,2
"MTCO1P51",0,0
"MTCO1P45",0,0
"AL160270.2",0,0
"AL355537.1",0,0
"AL139081.1",3,2
"LINC01219",1,2
"AL356010.1",0,0
"MTATP6P7",0,0
"GACAT1",0,0
"AHCYP4",0,0
"AL445183.1",0,0
"RPL7P14",1,0
"VPS13A-AS1",0,0
"AL133351.2",0,0
"TBC1D26-AS1",0,0
"CICP26",1,1
"AC018742.1",4,0
"MIR3936HG",170,363
"UBTFL11",0,0
"LINC01725",2,26
"NALCN-AS1",0,7
"RPEP4",0,0
"SLC9A3P1",0,0
"HDAC1P2",6,8
"FAM157B",5,3
"TBC1D3P7",0,4
"SLC25A6P1",0,0
"SNHG7",751,1621
"AL121832.1",0,39
"AL732292.1",0,0
"CHORDC1P5",1,0
"AL669841.1",0,0
"NPIPA9",0,1
"CRYZP1",22,28
"MTCO1P5",0,0
"AC006970.1",1,22
"AC244453.2",1,1
"AC243772.2",1,20
"AC125238.1",0,0
"CASK-AS1",1,10
"KRTAP8-2P",0,0
"AC009237.5",0,3
"PTPRN2-AS1",44,32
"MTND5P30",0,0
"FAM204BP",0,0
"PHGR1",2,529
"AL049820.1",1,2
"RPL15P5",2,17
"LINC01677",0,0
"LINC01722",0,2
"DEFB130B",0,0
"AL513304.1",0,9
"AL353621.1",3,0
"ERVH48-1",7,5
"EEF1A1P14",29,16
"LINC00884",119,56
"AC016700.1",0,0
"TTLL7-IT1",1,3
"SAR1AP4",0,0
"AL136307.1",1,1
"PTCHD1-AS",0,3
"AL391422.2",0,1
"AL663074.1",0,0
"ZFY-AS1",0,0
"RPSAP59",0,0
"RPS15AP6",0,1
"GRM3-AS1",1,2
"LINC01271",1,7
"AL355994.3",0,0
"LINC01755",0,3
"LINC01399",0,0
"AL353764.1",4,10
"AC073094.1",0,0
"FTH1P6",0,0
"RPL23AP25",3,8
"BX322234.2",0,0
"LNCARSR",0,3
"RAB6D",4,27
"AC015922.1",1,5
"LINC00892",14,16
"AC099541.1",0,1
"CCDC144NL-AS1",181,390
"AC095030.1",0,1
"HOXB-AS3",30,282
"AL133329.1",0,0
"AC103563.5",0,0
"RPL12P3",0,0
"SUCLA2P2",0,0
"GLCCI1-DT",4,2
"AC013701.1",0,0
"AC093797.1",22,146
"RAB1C",6,6
"AL358075.3",0,0
"FAM90A11P",0,1
"LINC00702",875,109
"UBE2V1P8",0,0
"USP9YP15",0,0
"VN1R20P",5,0
"CTAGE7P",8,43
"LINC01007",0,0
"LINC00456",0,0
"ACTBP12",0,1
"ZNF736P3Y",0,0
"LINC01794",0,0
"AL117351.1",0,0
"RPS15AP14",4,8
"FAM90A3P",0,0
"AC104451.1",0,0
"MTND3P17",0,1
"RPS27P18",0,0
"USP17L11",0,0
"AL023584.1",0,0
"AC244636.2",0,1
"DIRC3-AS1",29,5
"AL512656.1",2,16
"AL589987.2",0,0
"BPIFB5P",0,0
"SYF2P2",0,2
"UBE2E2-AS1",3,0
"LINC01762",3,4
"HMGA1P8",2,1
"HSFY8P",0,0
"Z97055.1",0,0
"RPS24P6",0,0
"RPL31P16",0,0
"MORF4L1P6",0,0
"RPS12P17",0,3
"EEF1A1P26",0,1
"AC138356.2",31,34
"VN1R34P",0,1
"AC008105.1",7,23
"OR7E157P",0,0
"AL161457.2",28,16
"Z82249.1",0,0
"AL138889.1",2,28
"AC093157.1",204,356
"KLF4P1",0,0
"RPL12P29",0,0
"RPS24P13",0,0
"AC006372.2",1,3
"AC005324.1",0,0
"AL096803.2",1,4
"TMEM256P1",2,0
"RNF224",7,58
"LINC02634",1,0
"DHCR24-DT",2,13
"MAPRE1P3",0,0
"WBP1P2",4,2
"RPS3AP1",0,1
"LINC00642",1,0
"GRPEL2P1",0,0
"KCNJ6-AS1",0,0
"AC002511.2",18,3
"LINC01687",0,0
"AL357373.1",0,1
"MROH3P",1,1
"AC008080.3",0,0
"LINC00167",4,3
"AC133785.1",0,6
"AL513523.3",0,0
"AC016876.1",216,378
"SSBL3P1",26,27
"LPCAT2BP",0,0
"CNOT7P1",2,0
"AC079807.1",16,29
"HNRNPA1P49",17,17
"NPIPB7",2,1
"AL592464.2",0,0
"BX119321.1",0,0
"LINC02573",0,0
"LINC00472",454,2205
"DEFA9P",0,0
"AL512604.2",0,2
"VKORC1P1",0,0
"PHC2-AS1",0,9
"UBE2E4P",10,18
"MTND6P9",0,0
"AC233728.1",3,24
"AC007743.1",410,28
"CRIP1P1",0,0
"RPL21P134",7,8
"AL355870.1",0,8
"AL390786.1",0,0
"FABP3P2",1,1
"RPSAP63",6,1
"FAM238A",4,2
"AL356134.1",1,0
"CAPZA1P4",0,0
"AC006042.2",0,14
"HMGB1P31",15,24
"AL691449.1",0,0
"SNRPEP4",2,17
"AL590440.1",0,0
"PNPT1P2",0,0
"AMMECR1LP1",0,0
"AC009238.2",0,0
"GPX1",8623,7564
"LINC01728",0,0
"RPS26P2",0,0
"MTCYBP10",0,0
"MTND3P10",0,0
"AC009362.1",1,0
"AC092447.5",3,13
"AL157944.1",6,1
"RPL7AP61",0,0
"AL513533.1",0,0
"AL133343.2",0,1
"FAM90A20P",1,6
"TMEM18-DT",0,9
"RASA4DP",37,12
"HIGD1AP4",0,2
"EIF4A1P1",2,1
"OR4C14P",0,0
"XXYLT1-AS1",1,1
"LINC01346",0,0
"TRGV2",2,2
"SRSF3P6",0,0
"OSTN-AS1",0,1
"RPS6P12",0,59
"MTCO1P54",0,0
"HMGA1P5",0,0
"DSCR10",0,0
"RPL31P45",0,0
"PPIAP32",1,2
"LINC02669",160,26
"EEF1A1P34",0,0
"MIPEPP3",48,102
"USP32P2",4,12
"PFN1P1",20,12
"RPS16P3",0,0
"AL078581.2",25,12
"AL122008.3",0,18
"RNFT1P2",2,1
"FAM53B-AS1",6,3
"RPL36AP14",0,1
"AC245056.1",0,0
"UBE2FP3",26,17
"TLR8-AS1",6,0
"AC018878.1",0,0
"AL139120.1",0,0
"AL139393.2",0,0
"ATP6V1G1P4",1,0
"ERP29P1",6,2
"LINC00333",0,0
"AL356124.2",3,0
"AL035660.1",0,0
"RPS7P9",0,0
"LINC00028",3,1
"CHRM3-AS2",3,19
"RPL30P15",0,0
"AL035401.1",1,0
"AC114485.1",0,0
"PDXP-DT",2,2
"AC006019.2",0,0
"AL121956.1",0,0
"ZNF90P2",0,0
"AL133480.1",1,0
"GTF2IP4",500,279
"ACTR1AP1",0,3
"AL137076.1",0,0
"AL117382.2",0,0
"MTND4P20",10,0
"USP9YP34",0,0
"AL139002.1",0,0
"RPS2P48",7,3
"AK4P3",10,5
"NKAPP1",71,74
"AC073089.1",0,1
"CNIH3-AS2",5,9
"MTCO3P8",0,0
"IATPR",2,0
"AL022334.1",1,2
"UICLM",3,1
"AP000688.2",3,0
"LINC00841",20,4
"LINC01719",11,61
"AC008063.1",0,0
"LINC01648",1,4
"PRKAR1AP1",0,0
"TARDBPP1",0,0
"AC121342.1",1,0
"LINC01046",0,0
"AL162430.1",9,10
"AL592182.1",0,0
"AP000534.1",0,0
"FANK1-AS1",0,0
"LINC01222",0,0
"AL359962.1",1,0
"OR5H15",0,0
"AL133419.1",0,0
"RPS25P3",9,2
"AC004946.1",0,0
"IFITM3P7",0,0
"AC002069.2",0,5
"LINC01783",2,5
"AC005482.1",0,0
"BX664718.1",0,0
"KRT18P67",0,1
"EIF3FP3",218,185
"AL009181.1",0,4
"PPIAP65",2,7
"HOTAIRM1",26,66
"AC239798.1",0,1
"LINC02596",0,0
"MTIF2P1",2,1
"AC006144.1",0,1
"AGGF1P2",0,9
"BTBD18",5,2
"AC118758.1",0,0
"HMGA1P6",0,0
"CYP2AB1P",1,0
"PPP6R2P1",0,0
"AC013262.1",1,0
"RPL17P11",0,0
"PDK1P2",0,0
"AC103563.6",0,0
"PMS2P9",0,0
"MTATP6P14",0,0
"AL513128.1",0,6
"STXBP5-AS1",46,77
"AC069285.3",0,0
"AL035414.1",0,1
"LINC01077",0,0
"AL353705.2",0,1
"AC125238.2",0,1
"RPL35AP31",0,0
