"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"FHL1",2634.7395,13.5666
"RTF2",63.9993,54.986
"GABRA1",0,0
"NLRP2",0.5766,6.0795
"SLC45A4",5.5588,10.9704
"RNF10",113.093,137.1065
"ZNF839",4.0968,11.5762
"ZDHHC6",32.2105,49.8434
"GRAMD1B",1.157,1.0452
"RNH1",128.4748,120.9206
"NDUFS1",39.4049,28.667
"RB1CC1",48.3203,33.2849
"ERP44",59.3031,41.6949
"ALAS1",86.8663,99.7444
"BIRC3",7.0607,12.6678
"AKAP11",54.5626,35.0183
"GLRX2",9.3172,16.1552
"SNAPC1",7.0188,7.5384
"DERA",36.2313,35.823
"STRAP",200.211,273.6516
"ABCC2",2.9706,0.6833
"DEF6",8.5859,37.4121
"PLEKHO1",26.551,19.3485
"GCLM",21.9,18.6375
"UBR2",37.2582,32.4879
"EHD2",794.4638,120.7187
"DEPDC1",0.3211,1.6932
"CCDC28A",57.3455,71.1472
"RRAGD",39.9775,4.8526
"HSF2",16.4486,23.9605
"PHF20",28.2967,43.8178
"HSD17B6",1.0347,5.9321
"NR1H3",64.8438,23.4066
"TYMP",66.606,54.471
"NCAPH2",27.3126,29.9856
"TOMM34",30.2099,86.8585
"SEC63",66.5625,52.8215
"KPNA6",45.8228,49.5535
"VIM",1711.0764,224.744
"RTEL1-TNFRSF6B",0.8006,2.5227
"FAS",9.8835,10.1289
"RNASET2",4.0953,9.8019
"CD44",172.1709,140.4319
"KCNG1",0.056,1.0879
"AGPAT4",6.0813,3.1562
"SLAMF7",4.0325,4.3769
"BTN3A1",34.1581,20.6905
"MIPEP",13.34,56.1934
"PRKCH",16.5921,19.3068
"INSRR",0.2333,0.4634
"IFNGR1",205.3676,118.5995
"B4GALT7",15.1571,25.7083
"SH2D2A",1.8518,1.6436
"VRK2",16.2575,22.8006
"TNFRSF1B",161.4598,34.9417
"VEZT",19.4382,56.8466
"POU2F2",3.1346,2.1251
"BRD9",13.3415,21.5265
"SNX1",104.3866,85.4266
"TBPL1",6.2905,5.491
"ARNTL2",4.7782,6.7744
"BCLAF1",45.5567,70.8019
"SLC39A9",46.2133,77.6146
"ANK1",2.7672,0.6944
"IBSP",0,0.3405
"TFB1M",4.2242,9.5965
"RABEP1",44.915,90.7482
"HMGB3",7.8467,43.9439
"NUP160",28.1453,27.5803
"BAK1",19.5752,31.5947
"MUSK",0.0826,0.0097
"IKZF2",2.5835,6.6942
"GRN",584.8384,393.117
"FAM13B",21.7539,27.7024
